title,description,category
Los parlantes no reconoce el cable USB,"Los parlantes no reconoce el cable USB, justo antes de una reunión importante.",HARDWARE
Mi cuenta de la vpn no tiene permisos para entrar a la carpeta,"Mi cuenta de la vpn no tiene permisos para entrar a la carpeta, desde ayer en la tarde.",ACCESOS
La sala de videoconferencia aparece ocupada pero en realidad está libre,"La sala de videoconferencia aparece ocupada pero en realidad está libre, justo antes de una reunión importante.",RESERVA_DE_SALAS
Mi usuario del sistema no tiene permisos para entrar a la carpeta,"Mi usuario del sistema no tiene permisos para entrar a la carpeta, justo antes de una reunión importante.",ACCESOS
El problema volvió a ocurrir,El problema volvió a ocurrir después de que lo dieron por resuelto la semana pasada. Esto viene pasando cada vez que lo intento.,RECLAMOS
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando desde esta mañana.",OTRO
No me notificaron el cambio,"Cambiaron algo en el sistema y nadie del área nos avisó con anticipación. Esto viene pasando desde esta mañana. No es urgente, pueden revisarlo cuando tengan tiempo.",RECLAMOS
El scanner se congela cada rato,"El scanner se congela cada rato, de forma intermitente durante el día.",HARDWARE
El notebook se calienta demasiado y se apaga,"El notebook se calienta demasiado y se apaga, desde esta mañana.",HARDWARE
Capacitación para personal nuevo,"Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando cada vez que lo intento. Sistema completo caído para todo el área, se necesita atención inmediata.",SUGERENCIAS
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando desde esta mañana.,SUGERENCIAS
Excel no reconoce mi usuario y contraseña,"Excel no reconoce mi usuario y contraseña, sin ningún cambio de mi parte. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",SOFTWARE
No me notificaron el cambio,"Cambiaron algo en el sistema y nadie del área nos avisó con anticipación. Esto viene pasando desde ayer en la tarde. Por favor priorizar, me está atrasando bastante.",RECLAMOS
Mi clave de acceso quedó bloqueada,"Mi clave de acceso quedó bloqueada, desde esta mañana.",ACCESOS
El sistema de tickets quedó pegado cargando y no avanza,"El sistema de tickets quedó pegado cargando y no avanza, de un momento a otro.",SOFTWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando hace ya una semana. Ya es el segundo día sin poder trabajar por esto.",OTRO
Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta,"Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta, cada vez que lo intento.",ACCESOS
Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta,"Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta, después de la última actualización.",ACCESOS
La sala de directorio necesito cambiarle el horario a mi reserva,"La sala de directorio necesito cambiarle el horario a mi reserva, hace ya una semana.",RESERVA_DE_SALAS
Llevo dos semanas esperando respuesta,"Llevo dos semanas esperando una respuesta a mi ticket anterior y nadie me ha contactado. Esto viene pasando desde ayer en la tarde. No es urgente, pueden revisarlo cuando tengan tiempo.",RECLAMOS
Permitir adjuntar más de un archivo,Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando cada vez que lo intento. Ya es el segundo día sin poder trabajar por esto.,SUGERENCIAS
Consulta sobre políticas internas,"Tengo una duda sobre la política interna de uso de equipos, no encontré el documento. Esto viene pasando desde ayer en la tarde.",OTRO
La sala de directorio la necesito reservar para mañana,"La sala de directorio la necesito reservar para mañana, justo antes de una reunión importante. Necesito que se resuelva hoy mismo si es posible.",RESERVA_DE_SALAS
Capacitación para personal nuevo,Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando después de la última actualización.,SUGERENCIAS
Consulta sobre políticas internas,"Tengo una duda sobre la política interna de uso de equipos, no encontré el documento. Esto viene pasando de un momento a otro. Tengo una entrega importante y esto me lo está impidiendo.",OTRO
La red del laboratorio está muy lenta desde hace rato,"La red del laboratorio está muy lenta desde hace rato, después de la última actualización. No es urgente, pueden revisarlo cuando tengan tiempo.",RED
Me cerraron el ticket sin avisar,Me cerraron el ticket anterior sin avisarme y el problema seguía sin solucionarse. Esto viene pasando desde que volvimos de la semana de vacaciones.,RECLAMOS
No me notificaron el cambio,"Cambiaron algo en el sistema y nadie del área nos avisó con anticipación. Esto viene pasando desde ayer en la tarde. Sin apuro, cualquier día de esta semana está bien.",RECLAMOS
App móvil para tickets,Sería útil tener una aplicación móvil para revisar el estado de los tickets desde el celular. Esto viene pasando desde esta mañana.,SUGERENCIAS
Mi tarjeta de acceso dice que el usuario no existe,"Mi tarjeta de acceso dice que el usuario no existe, de un momento a otro. Por favor priorizar, me está atrasando bastante.",ACCESOS
La conexión a internet no llega señal a mi oficina,"La conexión a internet no llega señal a mi oficina, de un momento a otro.",RED
Mejorar el buscador de tickets,"Sugiero mejorar el buscador del sistema de tickets, cuesta encontrar tickets antiguos. Esto viene pasando justo antes de una reunión importante. Ya es el segundo día sin poder trabajar por esto.",SUGERENCIAS
Permitir adjuntar más de un archivo,Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando de forma intermitente durante el día.,SUGERENCIAS
El acceso a la carpeta compartida se desconecta apenas me conecto,"El acceso a la carpeta compartida se desconecta apenas me conecto, desde esta mañana. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",RED
Capacitación para personal nuevo,"Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando de forma intermitente durante el día. Sin apuro, cualquier día de esta semana está bien.",SUGERENCIAS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando desde que volvimos de la semana de vacaciones.,OTRO
Mi cuenta de correo quedó bloqueada,"Mi cuenta de correo quedó bloqueada, desde esta mañana. Es urgente, no puedo seguir trabajando.",ACCESOS
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando sin ningún cambio de mi parte.",OTRO
La sala de directorio el sistema no me deja reservarla,"La sala de directorio el sistema no me deja reservarla, desde ayer en la tarde.",RESERVA_DE_SALAS
El wifi de la oficina no llega señal a mi oficina,"El wifi de la oficina no llega señal a mi oficina, hace ya una semana.",RED
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando de forma intermitente durante el día.",OTRO
Técnico no llegó a la hora acordada,El técnico no llegó a la hora que habíamos acordado para revisar el equipo. Esto viene pasando desde esta mañana.,RECLAMOS
Consulta sobre políticas internas,"Tengo una duda sobre la política interna de uso de equipos, no encontré el documento. Esto viene pasando cada vez que lo intento.",OTRO
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando cada vez que lo intento. Sin apuro, cualquier día de esta semana está bien.",RECLAMOS
Mi clave de acceso no me deja entrar de ninguna forma,"Mi clave de acceso no me deja entrar de ninguna forma, desde que volvimos de la semana de vacaciones.",ACCESOS
La vpn institucional aparece 'sin acceso a internet',"La vpn institucional aparece 'sin acceso a internet', desde ayer en la tarde. Es urgente, no puedo seguir trabajando.",RED
App móvil para tickets,Sería útil tener una aplicación móvil para revisar el estado de los tickets desde el celular. Esto viene pasando desde ayer en la tarde.,SUGERENCIAS
Los parlantes hace un ruido extraño al prender,"Los parlantes hace un ruido extraño al prender, desde que volvimos de la semana de vacaciones.",HARDWARE
La fuente de poder se reinicia solo,"La fuente de poder se reinicia solo, sin ningún cambio de mi parte.",HARDWARE
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando justo antes de una reunión importante.,OTRO
El proyector de la sala no detecta el mouse ni el teclado,"El proyector de la sala no detecta el mouse ni el teclado, desde ayer en la tarde.",HARDWARE
La sala de videoconferencia el sistema no me deja reservarla,"La sala de videoconferencia el sistema no me deja reservarla, de forma intermitente durante el día. Tengo una entrega importante y esto me lo está impidiendo.",RESERVA_DE_SALAS
El acceso a la carpeta compartida no llega señal a mi oficina,"El acceso a la carpeta compartida no llega señal a mi oficina, desde que volvimos de la semana de vacaciones. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",RED
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando sin ningún cambio de mi parte.",OTRO
Mi acceso a la carpeta compartida se venció y no puedo renovarla,"Mi acceso a la carpeta compartida se venció y no puedo renovarla, hace ya una semana.",ACCESOS
Mi usuario del sistema quedó bloqueada,"Mi usuario del sistema quedó bloqueada, justo antes de una reunión importante. No corre prisa, es solo para dejarlo registrado.",ACCESOS
Mi perfil en el sistema de tickets necesito que me den acceso,"Mi perfil en el sistema de tickets necesito que me den acceso, después de la última actualización. Por favor priorizar, me está atrasando bastante.",ACCESOS
La sala 204 la necesito reservar para mañana,"La sala 204 la necesito reservar para mañana, después de la última actualización. Necesito que se resuelva hoy mismo si es posible.",RESERVA_DE_SALAS
El wifi de la oficina no logra conectar,"El wifi de la oficina no logra conectar, de un momento a otro. Por favor priorizar, me está atrasando bastante.",RED
La impresora no enciende,"La impresora no enciende, sin ningún cambio de mi parte. Ya es el segundo día sin poder trabajar por esto.",HARDWARE
Mi usuario del sistema pide verificación en dos pasos y el código nunca llega,"Mi usuario del sistema pide verificación en dos pasos y el código nunca llega, de forma intermitente durante el día.",ACCESOS
Windows pide una licencia que no tengo activada,"Windows pide una licencia que no tengo activada, de forma intermitente durante el día. Es urgente, no puedo seguir trabajando.",SOFTWARE
Permitir adjuntar más de un archivo,Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando desde ayer en la tarde.,SUGERENCIAS
La sala de directorio aparece ocupada pero en realidad está libre,"La sala de directorio aparece ocupada pero en realidad está libre, hace ya una semana.",RESERVA_DE_SALAS
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando de un momento a otro.",OTRO
La sala de capacitación el sistema no me deja reservarla,"La sala de capacitación el sistema no me deja reservarla, de un momento a otro.",RESERVA_DE_SALAS
El sistema de facturación no guarda los cambios que hago,"El sistema de facturación no guarda los cambios que hago, hace ya una semana. Es urgente, no puedo seguir trabajando.",SOFTWARE
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando justo antes de una reunión importante.,SUGERENCIAS
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando justo antes de una reunión importante.",OTRO
El proyector de la sala quedó con la pantalla azul,"El proyector de la sala quedó con la pantalla azul, desde que volvimos de la semana de vacaciones.",HARDWARE
Técnico no llegó a la hora acordada,El técnico no llegó a la hora que habíamos acordado para revisar el equipo. Esto viene pasando sin ningún cambio de mi parte.,RECLAMOS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando cada vez que lo intento. Necesito que se resuelva hoy mismo si es posible.,OTRO
La sala de videoconferencia la necesito reservar para mañana,"La sala de videoconferencia la necesito reservar para mañana, desde ayer en la tarde. Tengo una entrega importante y esto me lo está impidiendo.",RESERVA_DE_SALAS
La red cableada de mi escritorio no logra conectar,"La red cableada de mi escritorio no logra conectar, de un momento a otro.",RED
La impresora de red no logra conectar,"La impresora de red no logra conectar, desde que volvimos de la semana de vacaciones. Puede esperar, no me está bloqueando por ahora.",RED
La red del laboratorio se desconecta apenas me conecto,"La red del laboratorio se desconecta apenas me conecto, cada vez que lo intento.",RED
La conexión a internet no llega señal a mi oficina,"La conexión a internet no llega señal a mi oficina, hace ya una semana. Sistema completo caído para todo el área, se necesita atención inmediata.",RED
Los parlantes perdió la conexión con el equipo,"Los parlantes perdió la conexión con el equipo, de un momento a otro.",HARDWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando desde esta mañana.",OTRO
El auditorio necesito cambiarle el horario a mi reserva,"El auditorio necesito cambiarle el horario a mi reserva, de forma intermitente durante el día. Ya es el segundo día sin poder trabajar por esto.",RESERVA_DE_SALAS
Mi cuenta de la vpn no tiene permisos para entrar a la carpeta,"Mi cuenta de la vpn no tiene permisos para entrar a la carpeta, desde que volvimos de la semana de vacaciones. Necesito que se resuelva hoy mismo si es posible.",ACCESOS
Zoom no reconoce mi usuario y contraseña,"Zoom no reconoce mi usuario y contraseña, desde ayer en la tarde. Es urgente, no puedo seguir trabajando.",SOFTWARE
El problema volvió a ocurrir,El problema volvió a ocurrir después de que lo dieron por resuelto la semana pasada. Esto viene pasando cada vez que lo intento. Ya es el segundo día sin poder trabajar por esto.,RECLAMOS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando después de la última actualización.,OTRO
La fuente de poder perdió la conexión con el equipo,"La fuente de poder perdió la conexión con el equipo, desde que volvimos de la semana de vacaciones.",HARDWARE
El computador no enciende,"El computador no enciende, hace ya una semana. Tengo una entrega importante y esto me lo está impidiendo.",HARDWARE
La vpn institucional se cierra solo apenas lo abro,"La vpn institucional se cierra solo apenas lo abro, sin ningún cambio de mi parte.",SOFTWARE
Mi tarjeta de acceso dice que el usuario no existe,"Mi tarjeta de acceso dice que el usuario no existe, de un momento a otro. Es crítico: afecta a todo el piso y nadie puede trabajar.",ACCESOS
Mi perfil en el sistema de tickets se venció y no puedo renovarla,"Mi perfil en el sistema de tickets se venció y no puedo renovarla, sin ningún cambio de mi parte.",ACCESOS
El teclado no enciende,"El teclado no enciende, desde ayer en la tarde. Por favor priorizar, me está atrasando bastante.",HARDWARE
Los parlantes no responde a nada,"Los parlantes no responde a nada, de un momento a otro.",HARDWARE
Capacitación para personal nuevo,"Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando de un momento a otro. Es urgente, no puedo seguir trabajando.",SUGERENCIAS
Windows quedó pegado cargando y no avanza,"Windows quedó pegado cargando y no avanza, cada vez que lo intento. Puede esperar, no me está bloqueando por ahora.",SOFTWARE
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando de un momento a otro. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",OTRO
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando desde que volvimos de la semana de vacaciones. No es urgente, pueden revisarlo cuando tengan tiempo.",RECLAMOS
La red cableada de mi escritorio se cae cada cierto tiempo,"La red cableada de mi escritorio se cae cada cierto tiempo, hace ya una semana. Sin apuro, cualquier día de esta semana está bien.",RED
El proyector de la sala se ve la pantalla completamente negra,"El proyector de la sala se ve la pantalla completamente negra, desde esta mañana.",HARDWARE
La sala de videoconferencia el sistema no me deja reservarla,"La sala de videoconferencia el sistema no me deja reservarla, desde que volvimos de la semana de vacaciones.",RESERVA_DE_SALAS
La red cableada de mi escritorio se desconecta apenas me conecto,"La red cableada de mi escritorio se desconecta apenas me conecto, de un momento a otro. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",RED
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando desde que volvimos de la semana de vacaciones.",RECLAMOS
El mouse no responde a nada,"El mouse no responde a nada, cada vez que lo intento. Es urgente, no puedo seguir trabajando.",HARDWARE
Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta,"Mi perfil en el sistema de tickets no tiene permisos para entrar a la carpeta, desde esta mañana.",ACCESOS
El auditorio aparece ocupada pero en realidad está libre,"El auditorio aparece ocupada pero en realidad está libre, de forma intermitente durante el día.",RESERVA_DE_SALAS
Mi usuario del sistema pide verificación en dos pasos y el código nunca llega,"Mi usuario del sistema pide verificación en dos pasos y el código nunca llega, cada vez que lo intento. No corre prisa, es solo para dejarlo registrado.",ACCESOS
El auditorio aparece ocupada pero en realidad está libre,"El auditorio aparece ocupada pero en realidad está libre, hace ya una semana. Ya es el segundo día sin poder trabajar por esto.",RESERVA_DE_SALAS
El mouse hace un ruido extraño al prender,"El mouse hace un ruido extraño al prender, justo antes de una reunión importante.",HARDWARE
El programa de nómina muestra un error al iniciar sesión,"El programa de nómina muestra un error al iniciar sesión, desde esta mañana.",SOFTWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando justo antes de una reunión importante.",OTRO
La sala de reuniones el sistema no me deja reservarla,"La sala de reuniones el sistema no me deja reservarla, desde ayer en la tarde.",RESERVA_DE_SALAS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando después de la última actualización.,OTRO
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando después de la última actualización.",RECLAMOS
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando después de la última actualización. Tengo una entrega importante y esto me lo está impidiendo.",OTRO
El monitor hace un ruido extraño al prender,"El monitor hace un ruido extraño al prender, desde ayer en la tarde.",HARDWARE
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando desde que volvimos de la semana de vacaciones.,SUGERENCIAS
La aplicación de asistencia se cierra solo apenas lo abro,"La aplicación de asistencia se cierra solo apenas lo abro, desde ayer en la tarde. Ya es el segundo día sin poder trabajar por esto.",SOFTWARE
El programa de nómina se congela al abrir un archivo grande,"El programa de nómina se congela al abrir un archivo grande, de forma intermitente durante el día.",SOFTWARE
El auditorio el sistema no me deja reservarla,"El auditorio el sistema no me deja reservarla, sin ningún cambio de mi parte. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",RESERVA_DE_SALAS
Windows dejó de sincronizar los archivos,"Windows dejó de sincronizar los archivos, desde que volvimos de la semana de vacaciones.",SOFTWARE
El monitor se ve la pantalla completamente negra,"El monitor se ve la pantalla completamente negra, justo antes de una reunión importante.",HARDWARE
